Loan Name,Lender,GL #,Loan #,Description,Type,Unit Numbers,How Paid,Origination Date,Maturity Date,Term (months),Rate,Monthly Payment,Original Balance,Beginning Loan,Downpayment,Pmt #,Pmt Date,Payment,Principal,Interest,Balance,Notes,Source File,Layout
1 579-Peterbilt-BMO-20230515,BMO,05-2934-004-000-00,9368279001,1 579 Pete,Debt,668,,5/16/2023,12/1/2028,66,5.99%,"$3,371.19","$188,397.73",,,1,7/1/2023,"$3,371.19","$1,948.97","$1,422.22","$186,448.76",,Meiborg Consolidate Debt Schedule-Master File 2024-2025.xlsx - 1 579-Peterbilt-BMO-20230515.csv,standard
1 579-Peterbilt-BMO-20230515,BMO,05-2934-004-000-00,9368279001,1 579 Pete,Debt,668,,5/16/2023,12/1/2028,66,5.99%,"$3,371.19","$188,397.73",,,2,8/1/2023,"$3,371.19","$2,440.50",$930.69,"$184,008.26",,Meiborg Consolidate Debt Schedule-Master File 2024-2025.xlsx - 1 579-Peterbilt-BMO-20230515.csv,standard
1 579-Peterbilt-BMO-20230515,BMO,05-2934-004-000-00,9368279001,1 579 Pete,Debt,668,,5/16/2023,12/1/2028,66,5.99%,"$3,371.19","$188,397.73",,,3,9/1/2023,"$3,371.19","$2,452.68",$918.51,"$181,555.58",,Meiborg Consolidate Debt Schedule-Master File 2024-2025.xlsx - 1 579-Peterbilt-BMO-20230515.csv,standard
1 579-Peterbilt-BMO-20230515,BMO,05-2934-004-000-00,9368279001,1 579 Pete,Debt,668,,5/16/2023,12/1/2028,66,5.99%,"$3,371.19","$188,397.73",,,4,10/1/2023,"$3,371.19","$2,464.93",$906.26,"$179,090.66",,Meiborg Consolidate Debt Schedule-Master File 2024-2025.xlsx - 1 579-Peterbilt-BMO-20230515.csv,standard
1 579-Peterbilt-BMO-20230515,BMO,05-2934-004-000-00,9368279001,1 579 Pete,Debt,668,,5/16/2023,12/1/2028,66,5.99%,"$3,371.19","$188,397.73",,,5,11/1/2023,"$3,371.19","$2,477.23",$893.96,"$176,613.43",,Meiborg Consolidate Debt Schedule-Master File 2024-2025.xlsx - 1 579-Peterbilt-BMO-20230515.csv,standard
1 579-Peterbilt-BMO-20230515,BMO,05-2934-004-000-00,9368279001,1 579 Pete,Debt,668,,5/16/2023,12/1/2028,66,5.99%,"$3,371.19","$188,397.73",,,6,12/1/2023,"$3,371.19","$2,489.59",$881.60,"$174,123.83",,Meiborg Consolidate Debt Schedule-Master File 2024-2025.xlsx - 1 579-Peterbilt-BMO-20230515.csv,standard
1 579-Peterbilt-BMO-20230515,BMO,05-2934-004-000-00,9368279001,1 579 Pete,Debt,668,,5/16/2023,12/1/2028,66,5.99%,"$3,371.19","$188,397.73",,,7,1/1/2024,"$3,371.19","$2,502.02",$869.17,"$171,621.81",,Meiborg Consolidate Debt Schedule-Master File 2024-2025.xlsx - 1 579-Peterbilt-BMO-20230515.csv,standard
1 579-Peterbilt-BMO-20230515,BMO,05-2934-004-000-00,9368279001,1 579 Pete,Debt,668,,5/16/2023,12/1/2028,66,5.99%,"$3,371.19","$188,397.73",,,8,2/1/2024,"$3,371.19","$2,514.51",$856.68,"$169,107.30",,Meiborg Consolidate Debt Schedule-Master File 2024-2025.xlsx - 1 579-Peterbilt-BMO-20230515.csv,standard
1 579-Peterbilt-BMO-20230515,BMO,05-2934-004-000-00,9368279001,1 579 Pete,Debt,668,,5/16/2023,12/1/2028,66,5.99%,"$3,371.19","$188,397.73",,,9,3/1/2024,"$3,371.19","$2,527.06",$844.13,"$166,580.24",,Meiborg Consolidate Debt Schedule-Master File 2024-2025.xlsx - 1 579-Peterbilt-BMO-20230515.csv,standard
1 579-Peterbilt-BMO-20230515,BMO,05-2934-004-000-00,9368279001,1 579 Pete,Debt,668,,5/16/2023,12/1/2028,66,5.99%,"$3,371.19","$188,397.73",,,10,4/1/2024,"$3,371.19","$2,539.68",$831.51,"$164,040.56",,Meiborg Consolidate Debt Schedule-Master File 2024-2025.xlsx - 1 579-Peterbilt-BMO-20230515.csv,standard
1 579-Peterbilt-BMO-20230515,BMO,05-2934-004-000-00,9368279001,1 579 Pete,Debt,668,,5/16/2023,12/1/2028,66,5.99%,"$3,371.19","$188,397.73",,,11,5/1/2024,"$3,371.19","$2,552.35",$818.84,"$161,488.20",,Meiborg Consolidate Debt Schedule-Master File 2024-2025.xlsx - 1 579-Peterbilt-BMO-20230515.csv,standard
1 579-Peterbilt-BMO-20230515,BMO,05-2934-004-000-00,9368279001,1 579 Pete,Debt,668,,5/16/2023,12/1/2028,66,5.99%,"$3,371.19","$188,397.73",,,12,6/1/2024,"$3,371.19","$2,565.09",$806.10,"$158,923.11",,Meiborg Consolidate Debt Schedule-Master File 2024-2025.xlsx - 1 579-Peterbilt-BMO-20230515.csv,standard
1 579-Peterbilt-BMO-20230515,BMO,05-2934-004-000-00,9368279001,1 579 Pete,Debt,668,,5/16/2023,12/1/2028,66,5.99%,"$3,371.19","$188,397.73",,,13,7/1/2024,"$3,371.19","$2,577.90",$793.29,"$156,345.21",,Meiborg Consolidate Debt Schedule-Master File 2024-2025.xlsx - 1 579-Peterbilt-BMO-20230515.csv,standard
