25 Utility Trailers,,,,,,,,
,,,,,Princ GL,05-2987-002-000-00,,
Debt Schedule-Master'!A1,,,,,,,,
'Rolling Debt Schedule'!A1,,,,,,,,
Loan #:,,,,,,,,
Billing ID:,,,,84,,6.59%,,
,,,,Payment,Princ,Int,"  1,302,999.00 ",Beg Bal
,,,,"$19,405.62 ",,,,
,6/17/2024,,,,,,"  1,302,999.00 ",
,7/17/2024,,1,"  19,405.62 ","  12,348.01 ","  7,057.61 ","  1,290,650.99 ", ML 
,8/17/2024,,2,"  19,405.62 ","  12,181.87 ","  7,223.76 ","  1,278,469.12 ",
,9/17/2024,,3,"  19,405.62 ","  12,250.05 ","  7,155.57 ","  1,266,219.07 ",
,10/17/2024,,4,"  19,405.62 ","  12,547.23 ","  6,858.40 ","  1,253,671.84 ",
,11/17/2024,,5,"  19,405.62 ","  12,388.84 ","  7,016.78 ","  1,241,283.00 ",
,12/17/2024,,6,"  19,405.62 ","  12,682.29 ","  6,723.33 ","  1,228,600.71 ",
Jan25,1/17/2025,,7,"  19,405.62 ","  12,529.16 ","  6,876.46 ","  1,216,071.55 ",
Feb25,2/17/2025,,8,"  19,405.62 ","  12,599.29 ","  6,806.34 ","  1,203,472.26 ",
Mar25,3/17/2025,,9,"  19,405.62 ","  13,321.66 ","  6,083.96 ","  1,190,150.60 ",
Apr25,4/17/2025,,10,"  19,405.62 ","  12,744.37 ","  6,661.26 ","  1,177,406.23 ",
May25,5/17/2025,,11,"  19,405.62 ","  13,028.28 ","  6,377.35 ","  1,164,377.96 ",
Jun25,6/17/2025,,12,"  19,405.62 ","  12,888.62 ","  6,517.01 ","  1,151,489.34 ",
Jul25,7/17/2025,,13,"  19,405.62 ","  13,168.65 ","  6,236.97 ","  1,138,320.69 ",
Aug25,8/17/2025,,14,"  19,405.62 ","  13,034.46 ","  6,371.17 ","  1,125,286.23 ",
Sep25,9/17/2025,,15,"  19,405.62 ","  13,107.41 ","  6,298.21 ","  1,112,178.81 ",
Oct25,10/17/2025,,16,"  19,405.62 ","  13,381.58 ","  6,024.05 ","  1,098,797.24 ",
Nov25,11/17/2025,,17,"  19,405.62 ","  13,255.67 ","  6,149.95 ","  1,085,541.57 ",
Dec25,12/17/2025,,18,"  19,405.62 ","  13,525.86 ","  5,879.77 ","  1,072,015.71 ",
Jan26,1/17/2026,,19,"  19,405.62 ","  13,405.57 ","  6,000.06 ","  1,058,610.14 ",
Feb26,2/17/2026,,20,"  19,405.62 ","  13,480.60 ","  5,925.03 ","  1,045,129.55 ",
Mar26,3/17/2026,,21,"  19,405.62 ","  14,122.14 ","  5,283.49 ","  1,031,007.41 ",
Apr26,4/17/2026,,22,"  19,405.62 ","  13,635.09 ","  5,770.53 ","  1,017,372.32 ",
May26,5/17/2026,,23,"  19,405.62 ","  13,895.09 ","  5,510.53 ","  1,003,477.23 ",
Jun26,6/17/2026,,24,"  19,405.62 ","  13,789.18 ","  5,616.45 ","  989,688.05 ",
Jul26,7/17/2026,,25,"  19,405.62 ","  14,045.04 ","  5,360.58 ","  975,643.01 ",
Aug26,8/17/2026,,26,"  19,405.62 ","  13,944.96 ","  5,460.66 ","  961,698.05 ",
Sep26,9/17/2026,,27,"  19,405.62 ","  14,023.01 ","  5,382.61 ","  947,675.04 ",
Oct26,10/17/2026,,28,"  19,405.62 ","  14,272.60 ","  5,133.02 ","  933,402.43 ",
Nov26,11/17/2026,,29,"  19,405.62 ","  14,181.38 ","  5,224.24 ","  919,221.05 ",
Dec26,12/17/2026,,30,"  19,405.62 ","  14,426.72 ","  4,978.90 ","  904,794.33 ",
Jan27,1/17/2027,,31,"  19,405.62 ","  14,341.50 ","  5,064.12 ","  890,452.83 ",
Feb27,2/17/2027,,32,"  19,405.62 ","  14,421.77 ","  4,983.85 ","  876,031.06 ",
Mar27,3/17/2027,,33,"  19,405.62 ","  14,976.99 ","  4,428.64 ","  861,054.07 ",
Apr27,4/17/2027,,34,"  19,405.62 ","  14,586.32 ","  4,819.31 ","  846,467.75 ",
May27,5/17/2027,,35,"  19,405.62 ","  14,820.78 ","  4,584.84 ","  831,646.97 ",
Jun27,6/17/2027,,36,"  19,405.62 ","  14,750.91 ","  4,654.72 ","  816,896.06 ",
Jul27,7/17/2027,,37,"  19,405.62 ","  14,980.96 ","  4,424.67 ","  801,915.10 ",
Aug27,8/17/2027,,38,"  19,405.62 ","  14,917.32 ","  4,488.31 ","  786,997.79 ",
Sep27,9/17/2027,,39,"  19,405.62 ","  15,000.81 ","  4,404.82 ","  771,996.98 ",
Oct27,10/17/2027,,40,"  19,405.62 ","  15,224.15 ","  4,181.47 ","  756,772.83 ",
Nov27,11/17/2027,,41,"  19,405.62 ","  15,169.98 ","  4,235.65 ","  741,602.85 ",
Dec27,12/17/2027,,42,"  19,405.62 ","  15,388.78 ","  4,016.85 ","  726,214.07 ",
Jan28,1/17/2028,,43,"  19,405.62 ","  15,341.01 ","  4,064.61 ","  710,873.06 ",
Feb28,2/17/2028,,44,"  19,405.62 ","  15,426.88 ","  3,978.75 ","  695,446.18 ",
Mar28,3/17/2028,,45,"  19,405.62 ","  15,764.34 ","  3,641.28 ","  679,681.83 ",
Apr28,4/17/2028,,46,"  19,405.62 ","  15,601.45 ","  3,804.17 ","  664,080.38 ",
May28,5/17/2028,,47,"  19,405.62 ","  15,808.67 ","  3,596.95 ","  648,271.71 ",
Jun28,6/17/2028,,48,"  19,405.62 ","  15,777.26 ","  3,628.37 ","  632,494.45 ",
Jul28,7/17/2028,,49,"  19,405.62 ","  15,979.76 ","  3,425.87 ","  616,514.69 ",
Aug28,8/17/2028,,50,"  19,405.62 ","  15,955.00 ","  3,450.62 ","  600,559.69 ",
Sep28,9/17/2028,,51,"  19,405.62 ","  16,044.30 ","  3,361.32 ","  584,515.39 ",
Oct28,10/17/2028,,52,"  19,405.62 ","  16,239.63 ","  3,165.99 ","  568,275.76 ",
Nov28,11/17/2028,,53,"  19,405.62 ","  16,224.99 ","  3,180.63 ","  552,050.77 ",
Dec28,12/17/2028,,54,"  19,405.62 ","  16,415.48 ","  2,990.15 ","  535,635.29 ",
Jan29,1/17/2029,,55,"  19,405.62 ","  16,407.68 ","  2,997.94 ","  519,227.61 ",
Feb29,2/17/2029,,56,"  19,405.62 ","  16,499.51 ","  2,906.11 ","  502,728.10 ",
Mar29,3/17/2029,,57,"  19,405.62 ","  16,864.16 ","  2,541.46 ","  485,863.93 ",
Apr29,4/17/2029,,58,"  19,405.62 ","  16,686.25 ","  2,719.37 ","  469,177.68 ",
May29,5/17/2029,,59,"  19,405.62 ","  16,864.35 ","  2,541.27 ","  452,313.33 ",
Jun29,6/17/2029,,60,"  19,405.62 ","  16,874.03 ","  2,531.59 ","  435,439.30 ",
Jul29,7/17/2029,,61,"  19,405.62 ","  17,047.09 ","  2,358.53 ","  418,392.20 ",
Aug29,8/17/2029,,62,"  19,405.62 ","  17,063.89 ","  2,341.74 ","  401,328.31 ",
Sep29,9/17/2029,,63,"  19,405.62 ","  17,159.40 ","  2,246.23 ","  384,168.92 ",
Oct29,10/17/2029,,64,"  19,405.62 ","  17,324.80 ","  2,080.83 ","  366,844.12 ",
Nov29,11/17/2029,,65,"  19,405.62 ","  17,352.40 ","  2,053.22 ","  349,491.72 ",
