,,,,,05-2985-004,Tristate Capital,,
,,,,,,,,
Debt Schedule-Master'!A1,,,,,,,  84.00 ,
'Rolling Debt Schedule'!A1,,,,,,,"($22,488.43)",
Loan #:,A0122-105,,,,,,,
Billing ID:,,,,84,,5.65%,,
,,,,Payment,Princ,Int,"  1,557,225.00 ",Beg Bal
,,,,"$22,505.99 ",,,"  1,557,225.00 ",
,4/1/2023,,,,,,"  1,557,225.00 ",
,5/15/2023,,1,"  22,505.99 ","  11,899.79 ","  10,606.20 ","  1,545,325.21 ", ML 
,6/15/2023,,2,"  22,505.99 ","  15,090.55 ","  7,415.44 ","  1,530,234.66 ",
,7/15/2023,,3,"  22,505.99 ","  15,399.83 ","  7,106.16 ","  1,514,834.83 ",
,8/15/2023,,4,"  22,505.99 ","  15,236.86 ","  7,269.13 ","  1,499,597.97 ",
,9/15/2023,,5,"  22,505.99 ","  15,309.97 ","  7,196.02 ","  1,484,288.00 ",
,10/15/2023,,6,"  22,505.99 ","  15,613.20 ","  6,892.79 ","  1,468,674.80 ",
,11/15/2023,,7,"  22,505.99 ","  15,458.36 ","  7,047.63 ","  1,453,216.43 ",
,12/15/2023,,8,"  22,505.99 ","  15,757.49 ","  6,748.50 ","  1,437,458.94 ",
,1/15/2024,,9,"  22,505.99 ","  15,608.16 ","  6,897.83 ","  1,421,850.78 ",
,2/15/2024,,10,"  22,505.99 ","  15,683.05 ","  6,822.94 ","  1,406,167.73 ",
,3/15/2024,,11,"  22,505.99 ","  16,193.65 ","  6,312.34 ","  1,389,974.09 ",
,4/15/2024,,12,"  22,505.99 ","  15,836.02 ","  6,669.97 ","  1,374,138.07 ",
,5/15/2024,,13,"  22,505.99 ","  16,124.72 ","  6,381.27 ","  1,358,013.35 ",
,6/15/2024,,14,"  22,505.99 ","  15,989.39 ","  6,516.60 ","  1,342,023.96 ",
,7/15/2024,,15,"  22,505.99 ","  16,273.85 ","  6,232.14 ","  1,325,750.11 ",
,8/15/2024,,16,"  22,505.99 ","  16,144.21 ","  6,361.78 ","  1,309,605.90 ",
,9/15/2024,,17,"  22,505.99 ","  16,221.68 ","  6,284.31 ","  1,293,384.23 ",
,10/15/2024,,18,"  22,505.99 ","  16,499.73 ","  6,006.26 ","  1,276,884.50 ",
,11/15/2024,,19,  -   ,  -   ,,"  1,276,884.50 ", deferred P&I payments - due  
,12/15/2024,,20,  -   ,  -   ,,"  1,276,884.50 ",
Jan25,1/15/2025,,21,  -   ,  -   ,,"  1,276,884.50 ",
Feb25,2/15/2025,,22,"  90,023.96 ","  65,712.43 ","  24,311.53 ","  1,211,172.07 ", 3 months P&I due 
Mar25,3/15/2025,,23,"  22,505.99 ","  17,256.47 ","  5,249.52 ","  1,193,915.60 ",
Apr25,4/15/2025,,24,"  22,505.99 ","  16,776.83 ","  5,729.16 ","  1,177,138.77 ",
