,Debt Schedule-Master'!A1,,,,08-2925-000-000-00,
,'Rolling Debt Schedule'!A1,,,,,
,,,,,,
,Solar Project Payments - MH3 11th St,,,,Term,40 months
,Monthly Payment,,"$15,302.47 ",,Loan,"$612,098.94 "
,,,,,,
,Date,Period,Payment,Interest,Principal,Balance
,12/1/2023,1,"$15,302.47 ",$0.00 ,"$15,302.47 ","$596,796.47 "
,1/1/2024,2,"$15,302.47 ",$0.00 ,"$15,302.47 ","$581,494.00 "
,2/1/2024,3,"$15,302.47 ",$0.00 ,"$15,302.47 ","$566,191.53 "
,3/1/2024,4,"$15,302.47 ",$0.00 ,"$15,302.47 ","$550,889.06 "
,4/1/2024,5,"$15,302.47 ",$0.00 ,"$15,302.47 ","$535,586.59 "
,5/1/2024,6,"$15,302.47 ",$0.00 ,"$15,302.47 ","$520,284.12 "
,6/1/2024,7,"$15,302.47 ",$0.00 ,"$15,302.47 ","$504,981.65 "
,7/1/2024,8,"$15,302.47 ",$0.00 ,"$15,302.47 ","$489,679.18 "
,8/1/2024,9,"$15,302.47 ",$0.00 ,"$15,302.47 ","$474,376.71 "
,9/1/2024,10,"$15,302.47 ",$0.00 ,"$15,302.47 ","$459,074.24 "
,10/1/2024,11,"$15,302.47 ",$0.00 ,"$15,302.47 ","$443,771.77 "
,11/1/2024,12,"$15,302.47 ",$0.00 ,"$15,302.47 ","$428,469.30 "
,12/1/2024,13,"$15,302.47 ",$0.00 ,"$15,302.47 ","$413,166.83 "
Jan25,1/1/2025,14,"$15,302.47 ",$0.00 ,"$15,302.47 ","$397,864.36 "
Feb25,2/1/2025,15,"$15,302.47 ",$0.00 ,"$15,302.47 ","$382,561.89 "
Mar25,3/1/2025,16,"$15,302.47 ",$0.00 ,"$15,302.47 ","$367,259.42 "
Apr25,4/1/2025,17,"$15,302.47 ",$0.00 ,"$15,302.47 ","$351,956.95 "
May25,5/1/2025,18,"$15,302.47 ",$0.00 ,"$15,302.47 ","$336,654.48 "
Jun25,6/1/2025,19,"$15,302.47 ",$0.00 ,"$15,302.47 ","$321,352.01 "
Jul25,7/1/2025,20,"$15,302.47 ",$0.00 ,"$15,302.47 ","$306,049.54 "
Aug25,8/1/2025,21,"$15,302.47 ",$0.00 ,"$15,302.47 ","$290,747.07 "
Sep25,9/1/2025,22,"$15,302.47 ",$0.00 ,"$15,302.47 ","$275,444.60 "
Oct25,10/1/2025,23,"$15,302.47 ",$0.00 ,"$15,302.47 ","$260,142.13 "
Nov25,11/1/2025,24,"$15,302.47 ",$0.00 ,"$15,302.47 ","$244,839.66 "
Dec25,12/1/2025,25,"$15,302.47 ",$0.00 ,"$15,302.47 ","$229,537.19 "
Jan26,1/1/2026,26,"$15,302.47 ",$0.00 ,"$15,302.47 ","$214,234.72 "
Feb26,2/1/2026,27,"$15,302.47 ",$0.00 ,"$15,302.47 ","$198,932.25 "
Mar26,3/1/2026,28,"$15,302.47 ",$0.00 ,"$15,302.47 ","$183,629.78 "
Apr26,4/1/2026,29,"$15,302.47 ",$0.00 ,"$15,302.47 ","$168,327.31 "
May26,5/1/2026,30,"$15,302.47 ",$0.00 ,"$15,302.47 ","$153,024.84 "
Jun26,6/1/2026,31,"$15,302.47 ",$0.00 ,"$15,302.47 ","$137,722.37 "
Jul26,7/1/2026,32,"$15,302.47 ",$0.00 ,"$15,302.47 ","$122,419.90 "
Aug26,8/1/2026,33,"$15,302.47 ",$0.00 ,"$15,302.47 ","$107,117.43 "
Sep26,9/1/2026,34,"$15,302.47 ",$0.00 ,"$15,302.47 ","$91,814.96 "
Oct26,10/1/2026,35,"$15,302.47 ",$0.00 ,"$15,302.47 ","$76,512.49 "
Nov26,11/1/2026,36,"$15,302.47 ",$0.00 ,"$15,302.47 ","$61,210.02 "
Dec26,12/1/2026,37,"$15,302.47 ",$0.00 ,"$15,302.47 ","$45,907.55 "
Jan27,1/1/2027,38,"$15,302.47 ",$0.00 ,"$15,302.47 ","$30,605.08 "
Feb27,2/1/2027,39,"$15,302.47 ",$0.00 ,"$15,302.47 ","$15,302.61 "
Mar27,3/1/2027,40,"$15,302.61 ",$0.00 ,"$15,302.61 ",$0.00 
Apr27,4/1/2027,,0,$0.00 ,$0.00 ,0
May27,5/1/2027,,0,$0.00 ,$0.00 ,0
,6/1/2027,,0,$0.00 ,$0.00 ,0
