Racking for Texas Warehousing,,,,,07-2910,,,
,,,,,Use Interest account 07-8100-000-104,,,
Debt Schedule-Master'!A1,,,,,,,,
'Rolling Debt Schedule'!A1,,,,,,,,
Loan #:,,,,,,,,
Billing ID:,,,,36,,9.68%,,
,,,,Payment,Princ,Int,"  328,902.86 ",Beg Bal
,,,,"$10,563.43 ",,,,
,5/6/2024,,,,,,"  328,902.86 ",
,5/8/2024,,1,"  21,003.68 ","  20,829.23 ",  174.45 ,"  308,073.63 ", ML 
,5/30/2024,,,,,"  8,051.41 ","  308,073.63 ", Interest pmt only 
,6/24/2024,,2,"  9,180.60 ","  7,138.03 ","  2,042.57 ","  300,935.60 ",
,7/29/2024,,3,"  10,501.84 ","  7,708.50 ","  2,793.34 ","  293,227.11 ",
,8/24/2024,,4,"  10,501.84 ","  8,479.94 ","  2,021.90 ","  284,747.17 ",
,9/24/2024,,5,"  10,501.84 ","  8,160.83 ","  2,341.01 ","  276,586.34 ",
,10/24/2024,,6,"  10,501.84 ","  8,301.27 ","  2,200.57 ","  268,285.07 ",
,11/24/2024,,7,"  10,501.84 ","  8,296.17 ","  2,205.67 ","  259,988.90 ",Use Interest account 07-8100-000-104
,12/24/2024,,8,"  10,501.84 ","  8,433.33 ","  2,068.51 ","  251,555.57 ",
Jan25,1/24/2025,,9,"  10,501.84 ","  8,433.71 ","  2,068.13 ","  243,121.86 ",
Feb25,2/24/2025,,10,"  10,501.84 ","  8,503.05 ","  1,998.79 ","  234,618.82 ",
Mar25,3/24/2025,,11,"  10,501.84 ","  8,759.62 ","  1,742.22 ","  225,859.20 ",
Apr25,4/24/2025,,12,"  10,501.84 ","  8,644.97 ","  1,856.87 ","  217,214.23 ",
May25,5/24/2025,,13,"  10,501.84 ","  8,773.65 ","  1,728.19 ","  208,440.58 ",
Jun25,6/24/2025,,14,"  10,501.84 ","  8,788.17 ","  1,713.67 ","  199,652.41 ",
Jul25,7/24/2025,,15,"  10,501.84 ","  8,913.37 ","  1,588.47 ","  190,739.04 ",
Aug25,8/24/2025,,16,"  10,501.84 ","  8,933.70 ","  1,568.14 ","  181,805.33 ",
Sep25,9/24/2025,,17,"  10,501.84 ","  9,007.15 ","  1,494.69 ","  172,798.18 ",
Oct25,10/24/2025,,18,"  10,501.84 ","  9,127.03 ","  1,374.81 ","  163,671.15 ",
Nov25,11/24/2025,,19,"  10,501.84 ","  9,156.24 ","  1,345.60 ","  154,514.91 ",
Dec25,12/24/2025,,20,"  10,501.84 ","  9,272.49 ","  1,229.35 ","  145,242.42 ",
Jan26,1/24/2026,,21,"  10,501.84 ","  9,307.75 ","  1,194.09 ","  135,934.67 ",
Feb26,2/24/2026,,22,"  10,501.84 ","  9,384.27 ","  1,117.57 ","  126,550.40 ",Use Interest account 07-8100-000-104
Mar26,3/24/2026,,23,"  10,501.84 ","  9,562.11 ",  939.73 ,"  116,988.29 ",
Apr26,4/24/2026,,24,"  10,501.84 ","  9,540.04 ",  961.80 ,"  107,448.26 ",
May26,5/24/2026,,25,"  10,501.84 ","  9,646.96 ",  854.88 ,"  97,801.29 ",
Jun26,6/24/2026,,26,"  10,501.84 ","  9,697.78 ",  804.06 ,"  88,103.51 ",
Jul26,7/24/2026,,27,"  10,501.84 ","  9,800.87 ",  700.97 ,"  78,302.64 ",
Aug26,8/24/2026,,28,"  10,501.84 ","  9,858.09 ",  643.75 ,"  68,444.55 ",
Sep26,9/24/2026,,29,"  10,501.84 ","  9,939.13 ",  562.71 ,"  58,505.42 ",
Oct26,10/24/2026,,30,"  10,501.84 ","  10,036.36 ",  465.48 ,"  48,469.06 ",
Nov26,11/24/2026,,31,"  10,501.84 ","  10,103.36 ",  398.48 ,"  38,365.70 ",
Dec26,12/24/2026,,32,"  10,501.84 ","  10,196.60 ",  305.24 ,"  28,169.11 ",
Jan27,1/24/2027,,33,"  10,501.84 ","  10,270.25 ",  231.59 ,"  17,898.86 ",
Feb27,2/24/2027,,34,"  10,501.84 ","  10,354.69 ",  147.15 ,"  7,544.17 ",
Mar27,3/24/2027,,35,"  7,600.19 ","  7,544.17 ",  56.02 ,  -   ,
Apr27,4/6/2027,,36,  -   ,  -   ,  -   ,  -   ,
May27,5/6/2027,,37,  -   ,  -   ,  -   ,  -   ,
Jun27,6/6/2027,,38,  -   ,  -   ,  -   ,  -   ,
Jul27,7/6/2027,,39,  -   ,  -   ,  -   ,  -   ,
Aug27,8/6/2027,,40,  -   ,  -   ,  -   ,  -   ,
Sep27,9/6/2027,,41,  -   ,  -   ,  -   ,  -   ,
Oct27,10/6/2027,,42,  -   ,  -   ,  -   ,  -   ,
Nov27,11/6/2027,,43,  -   ,  -   ,  -   ,  -   ,
Dec27,12/6/2027,,44,  -   ,  -   ,  -   ,  -   ,
Jan28,1/6/2028,,45,  -   ,  -   ,  -   ,  -   ,
Feb28,2/6/2028,,46,  -   ,  -   ,  -   ,  -   ,
Mar28,3/6/2028,,47,  -   ,  -   ,  -   ,  -   ,
Apr28,4/6/2028,,48,  -   ,  -   ,  -   ,  -   ,
May28,5/6/2028,,49,  -   ,  -   ,  -   ,  -   ,
Jun28,6/6/2028,,50,  -   ,  -   ,  -   ,  -   ,
Jul28,7/6/2028,,51,  -   ,  -   ,  -   ,  -   ,
Aug28,8/6/2028,,52,  -   ,  -   ,  -   ,  -   ,
Sep28,9/6/2028,,53,  -   ,  -   ,  -   ,  -   ,
Oct28,10/6/2028,,54,  -   ,  -   ,  -   ,  -   ,
Nov28,11/6/2028,,55,  -   ,  -   ,  -   ,  -   ,
Dec28,12/6/2028,,56,  -   ,  -   ,  -   ,  -   ,
Jan29,1/6/2029,,57,  -   ,  -   ,  -   ,  -   ,
Feb29,2/6/2029,,58,  -   ,  -   ,  -   ,  -   ,
Mar29,3/6/2029,,59,  -   ,  -   ,  -   ,  -   ,
Apr29,4/6/2029,,60,  -   ,  -   ,  -   ,  -   ,
May29,5/6/2029,,61,  -   ,  -   ,  -   ,  -   ,
Jun29,6/6/2029,,62,  -   ,  -   ,  -   ,  -   ,
Jul29,7/6/2029,,63,  -   ,  -   ,  -   ,  -   ,
Aug29,8/6/2029,,64,  -   ,  -   ,  -   ,  -   ,
Sep29,9/6/2029,,65,  -   ,  -   ,  -   ,  -   ,
Oct29,10/6/2029,,66,  -   ,  -   ,  -   ,  -   ,
Nov29,11/6/2029,,67,  -   ,  -   ,  -   ,  -   ,
Dec29,12/6/2029,,68,  -   ,  -   ,  -   ,  -   ,
Jan30,1/6/2030,,69,  -   ,  -   ,  -   ,  -   ,
Feb30,2/6/2030,,70,  -   ,  -   ,  -   ,  -   ,
